"last_name, first_name","player_id","year","pa","k_percent","bb_percent","woba","xwoba","sweet_spot_percent","barrel_batted_rate","hard_hit_percent","avg_best_speed","avg_hyper_speed","whiff_percent","swing_percent"
"Olson, Matt","621566","2024","233",26.2,9.9,".327",".363",36.6,13.8,53.8,"103.911185556","96.894052083",27.4,49.1
"Arraez, Luis","650333","2024","256",5.9,4.3,".353",".339",46,1.3,21.7,"94.524794643","91.281012634",9,46.9
"Arozarena, Randy","668227","2024","230",28.7,10.9,".259",".290",21.9,7.3,40.9,"100.406311449","94.454996496",35.3,42.4
"Ramírez, José","608070","2024","246",11,7.7,".375",".319",35.2,9,39.2,"99.410442222","93.978052121",15.7,49.7
"Langeliers, Shea","669127","2024","191",24.6,7.3,".325",".353",37,17.3,46.5,"101.690491094","95.553094173",29.1,48.6
"Joe, Connor","656582","2024","202",18.8,8.9,".348",".298",34.7,6.3,35.4,"98.791719861","93.398443403",23.1,43.3
"Rizzo, Anthony","519203","2024","237",18.1,5.9,".307",".299",31,5.2,32.8,"97.732842989","92.878012241",20.2,51
"Polanco, Jorge","593871","2024","181",30.9,11.6,".272",".278",27.2,5.8,35.9,"98.886864118","93.482901765",29.3,43.3
"Volpe, Anthony","683011","2024","264",20.5,8.7,".346",".310",34.4,4.4,38.3,"98.543517273","93.367695284",21.2,47.1
"Giménez, Andrés","665926","2024","239",14.6,4.6,".321",".321",35,3.8,27.3,"96.274220112","92.139871629",23.4,55.9
"Henderson, Gunnar","683002","2024","248",23.8,11.7,".400",".391",32.3,13.5,56.8,"103.892148333","97.077030194",26.8,44.3
"Turang, Brice","668930","2024","205",16.1,8.8,".344",".309",32.7,3.3,32,"97.295746528","92.813022292",13.5,45.7
"Soto, Juan","665742","2024","269",16,14.9,".425",".458",34.6,18.9,59.5,"105.994860978","98.45898087",22.1,38.1
"Donovan, Brendan","680977","2024","233",13.7,7.7,".316",".334",34.3,6.3,39.4,"98.640498851","93.460601322",14.9,40
"Ward, Taylor","621493","2024","240",22.5,9.6,".349",".385",44.8,14.7,44.2,"100.670038889","94.773931605",22.5,44.1
"Taveras, Leody","665750","2024","204",17.2,8.8,".311",".327",36.4,5.3,40.4,"99.944063867","94.168330268",23,47.8
"Reynolds, Bryan","668804","2024","256",19.9,9.8,".318",".349",33.9,8.9,45.6,"100.763382222","94.728597611",29.9,46.2
"Doyle, Brenton","686668","2024","221",26.7,10.4,".341",".320",37,8,39.9,"100.973916716","94.755197669",30.6,49.8
"Arenado, Nolan","571448","2024","226",15.9,6.6,".305",".294",35.8,2.3,30.1,"96.756742299","92.404017919",20.8,44.9
"Rodgers, Brendan","663898","2024","203",23.2,5.4,".294",".296",29.7,3.4,45.5,"100.939251667","94.829752917",24.2,48.8
"Acuña Jr., Ronald","660670","2024","222",23.9,12.2,".325",".349",31.7,9.4,48.2,"103.064738696","96.113602174",27.5,47
"Estrada, Thairo","642731","2024","230",18.7,3.5,".303",".282",27.1,6.2,36.2,"98.121658523","93.07266233",19.6,50.2
"Marsh, Brandon","669016","2024","178",28.7,10.1,".333",".354",45,8.3,52.3,"101.618284182","95.553437339",23.3,39.5
"Perez, Salvador","521692","2024","231",16,6.9,".394",".403",40.1,15.1,47.7,"102.524815233","95.743367558",24.6,59.8
"Garver, Mitch","641598","2024","184",32.1,12,".268",".287",37,8,38,"99.6467906","94.054491313",32.7,39.7
"Naylor, Josh","647304","2024","229",15.7,9.6,".347",".361",32.9,11.4,43.7,"101.523060241","95.215223091",21.9,52.6
"Chisholm Jr., Jazz","665862","2024","241",24.5,8.7,".335",".326",32.1,13.2,42.1,"100.729417692","94.886172645",27.9,47
"Schwarber, Kyle","656941","2024","259",28.6,16.6,".347",".361",30.5,10.6,55.3,"104.689506197","97.307509291",33.4,40.1
"Abrams, CJ","682928","2024","235",20.9,5.1,".322",".344",39.8,6.4,40.9,"99.869934941","94.195722012",24.5,55.2
"Rodríguez, Julio","677594","2024","249",27.7,5.2,".291",".321",32.7,7.9,49.1,"103.660182289","96.555179636",31.5,54.2
"Benson, Will","666181","2024","194",38.1,12.4,".320",".310",37.9,14.7,48.4,"100.96268234","95.013064787",37.1,46.7
"Sheets, Gavin","657757","2024","196",16.3,13.3,".336",".360",39.3,6.7,37,"99.97156403","94.397431579",20.1,43.4
"García, Luis","671277","2024","178",19.1,5.6,".324",".332",31.3,9,44,"100.413219104","94.354195113",22.3,50.5
"Torres, Gleyber","650402","2024","243",23.9,9.9,".289",".297",36.5,6.9,34.6,"98.366848101","93.36785481",26,46
"Riley, Austin","663586","2024","183",25.7,7.7,".290",".318",29.2,11.7,48.3,"102.983226","95.877797583",28.6,50.3
"Tauchman, Mike","643565","2024","208",21.2,13.5,".345",".334",37.3,7.5,41,"99.06238403","93.632793731",23.4,48.1
"Jeffers, Ryan","680777","2024","200",23.5,7.5,".383",".352",35.2,13.3,34.4,"99.8713825","93.990206797",25.9,45.1
"Bregman, Alex","608324","2024","236",13.1,8.1,".288",".279",30.1,5.4,36,"97.321834409","92.673111075",12,44.6
"Alonso, Pete","624413","2024","243",19.3,8.2,".333",".341",31.4,12.8,40.1,"101.056044186","94.697819767",21.3,46.3
"Neto, Zach","687263","2024","203",24.6,6.4,".317",".309",32.4,9.4,33.8,"99.727793333","93.99276562",27.3,52.7
"Bogaerts, Xander","593428","2024","200",20,6,".260",".313",37.2,6.8,31.1,"97.487847162","92.764087905",20.7,42.7
"De La Cruz, Elly","682829","2024","237",32.5,11.8,".345",".323",31.8,10.9,45,"102.248805556","95.518729444",34.3,42.1
"Semien, Marcus","543760","2024","256",14.8,7,".317",".327",36.5,6.5,33,"97.4464199","92.80131005",20.8,50.8
"Nimmo, Brandon","607043","2024","237",24.5,13.9,".330",".388",40.6,12.3,48.6,"101.916133043","95.481819058",25.6,41.9
"Paredes, Isaac","670623","2024","230",16.1,10.9,".387",".319",39.5,6.2,29,"96.241320123","92.120660062",17.2,44.8
"Bell, Josh","605137","2024","246",19.9,7.7,".305",".304",26.7,5.8,40.7,"100.038372093","94.176433684",28.8,48.8
"Diaz, Yainer","673237","2024","205",15.1,3.9,".279",".305",28.5,6.7,49.7,"101.245181687","95.147497091",21.4,58.1
"Rocchio, Brayan","677587","2024","180",17.2,12.8,".271",".299",38.7,2.4,22.8,"95.673074833","91.975171917",23,48.4
"Machado, Manny","592518","2024","232",22.4,6.9,".290",".317",32.3,8.5,48.8,"102.999271235","96.013712346",26.5,49.4
"Betts, Mookie","605141","2024","267",9,13.9,".410",".392",42.7,5.8,41.3,"99.155714272","93.937414515",13.1,37.5
"McNeil, Jeff","643446","2024","217",11.5,7.8,".280",".286",34.3,1.7,29.7,"96.250928353","92.164357633",13.3,51.8
"Perkins, Blake","663368","2024","184",26.1,9.2,".312",".301",33.6,6.9,42.2,"98.612897455","93.880736727",28.8,40.3
"Profar, Jurickson","595777","2024","238",13.9,13,".405",".374",39.8,5.8,40.4,"100.09281869","94.319411796",18,46.1
"Cowser, Colton","681297","2024","181",29.3,11,".341",".367",36.2,17.1,51.4,"102.561611509","95.966228",31.1,43.5
